sample	tp53_mutation_status
CPCT02020865T	0
CPCT02020866T	0
CPCT02020867T	0
CPCT02020868T	0
CPCT02020872T	0
CPCT02020876T	0
CPCT02020879T	0
CPCT02020886T	0
CPCT02020887T	0
CPCT02020888T	0
CPCT02020891T	0
CPCT02020894T	0
CPCT02020895T	0
CPCT02020895TII	0
CPCT02020896T	0
CPCT02020897T	0
CPCT02020898T	0
CPCT02020901T	0
CPCT02020902T	0
CPCT02020903T	0
CPCT02020906T	0
CPCT02020910T	0
CPCT02020912T	0
CPCT02020914T	0
CPCT02020915T	0
CPCT02020916T	0
CPCT02020918T	0
CPCT02020918TII	0
CPCT02020919T	0
CPCT02020920T	0
CPCT02020922T	0
CPCT02020924T	0
CPCT02020924TII	0
CPCT02020925T	0
CPCT02020930T	0
CPCT02020931T	0
CPCT02020933T	0
CPCT02020934T	0
CPCT02020937T	0
CPCT02020938T	0
CPCT02020938TII	0
CPCT02020939T	0
CPCT02020940T	0
CPCT02020940TII	0
CPCT02020942T	0
CPCT02020946T	0
CPCT02020947T	0
CPCT02020949T	0
CPCT02020951T	0
CPCT02020952T	0
CPCT02020955T	0
CPCT02020956T	0
CPCT02020958T	0
CPCT02020958TII	0
CPCT02020959T	0
CPCT02020960T	0
CPCT02020964T	0
CPCT02020965T	0
CPCT02020966T	0
CPCT02020968T	0
CPCT02020969T	0
CPCT02020970T	0
CPCT02020971T	0
CPCT02020972T	0
CPCT02020973T	0
CPCT02020975T	0
CPCT02020977T	0
CPCT02020979T	0
CPCT02020981T	0
CPCT02020982T	0
CPCT02020983T	0
CPCT02020984T	0
CPCT02020986T	0
CPCT02020988T	0
CPCT02020989T	0
CPCT02020991T	0
CPCT02020993T	0
CPCT02020996T	0
CPCT02020997T	0
CPCT02021002T	0
CPCT02021008T	0
CPCT02021009T	0
CPCT02021011T	0
CPCT02030213T	0
CPCT02030216TII	0
CPCT02030218TII	0
CPCT02030218TIII	0
CPCT02030220T	0
CPCT02030221T	0
CPCT02030224T	0
CPCT02030225T	0
CPCT02030226T	0
CPCT02030227T	0
CPCT02030233T	0
CPCT02030234T	0
CPCT02030237T	0
CPCT02030238T	0
CPCT02030239T	0
CPCT02030242T	0
CPCT02030243T	0
CPCT02030245T	0
CPCT02030246T	0
CPCT02030246TII	0
CPCT02030247T	0
CPCT02030250T	0
CPCT02030256T	0
CPCT02030257T	0
CPCT02030258T	0
CPCT02030259TII	0
CPCT02030259TIII	0
CPCT02030261T	0
CPCT02030262T	0
CPCT02030264T	0
CPCT02030265T	0
CPCT02030265TII	0
CPCT02030269T	0
CPCT02030270T	0
CPCT02030271T	0
CPCT02030272T	0
CPCT02030274T	0
CPCT02030275T	0
CPCT02030276T	0
CPCT02030277T	0
CPCT02030278T	0
CPCT02030279T	0
CPCT02030280T	0
CPCT02030284T	0
CPCT02030285T	0
CPCT02030286T	0
CPCT02030289T	0
CPCT02030289TIII	0
CPCT02030291T	0
CPCT02030292T	0
CPCT02030293T	0
CPCT02030294T	0
CPCT02030296T	0
CPCT02030299T	0
CPCT02030300T	0
CPCT02030302T	0
CPCT02030303T	0
CPCT02030304T	0
CPCT02030305T	0
CPCT02030306T	0
CPCT02030307T	0
CPCT02030310T	0
CPCT02030314T	0
CPCT02030315T	0
CPCT02030318T	0
CPCT02030319T	0
CPCT02030320T	0
CPCT02030323T	0
CPCT02030324T	0
CPCT02030325T	0
CPCT02030326T	0
CPCT02030327T	0
CPCT02030328T	0
CPCT02030329T	0
CPCT02030330T	0
CPCT02030331T	0
CPCT02030332T	0
CPCT02030335T	0
CPCT02030336T	0
CPCT02030337TII	0
CPCT02030339T	0
CPCT02030339TII	0
CPCT02030340T	0
